0.000590,0.000098,0.048160
0.001768,0.000294,0.144480
0.002945,0.000488,0.240800
0.004119,0.000678,0.337120
0.005290,0.000863,0.433440
0.006457,0.001041,0.529760
0.007619,0.001212,0.626080
0.008777,0.001374,0.722400
0.009929,0.001525,0.818720
0.011073,0.001664,0.915041
0.012210,0.001788,1.011361
0.013336,0.001895,1.107681
0.014452,0.001985,1.204002
0.015556,0.002053,1.300323
0.016645,0.002100,1.396644
0.017718,0.002123,1.492965
0.018773,0.002122,1.589287
0.019807,0.002097,1.685609
0.020819,0.002046,1.781931
0.021804,0.001971,1.878253
0.022761,0.001872,1.974575
0.023687,0.001750,2.070898
0.024579,0.001608,2.167221
0.025435,0.001446,2.263544
0.026253,0.001267,2.359868
0.027029,0.001073,2.456192
0.027764,0.000867,2.552516
0.028454,0.000652,2.648840
0.029099,0.000431,2.745165
0.029699,0.000207,2.841490
0.030252,-0.000018,2.937816
0.030761,-0.000240,3.034141
0.031224,-0.000456,3.130467
0.031643,-0.000663,3.226793
0.032020,-0.000859,3.323120
0.032356,-0.001043,3.419446
0.032653,-0.001210,3.515773
0.032914,-0.001360,3.612099
0.033141,-0.001491,3.708426
0.033337,-0.001602,3.804753
0.033503,-0.001691,3.901080
0.033643,-0.001759,3.997407
0.033757,-0.001803,4.093735
0.033849,-0.001826,4.190062
0.033920,-0.001825,4.286389
0.033970,-0.001801,4.382716
0.034002,-0.001755,4.479043
0.034016,-0.001686,4.575371
0.034013,-0.001594,4.671698
0.033993,-0.001480,4.768025
0.033956,-0.001343,4.864352
0.033903,-0.001186,4.960679
0.033832,-0.001010,5.057006
0.033744,-0.000816,5.153333
0.033637,-0.000608,5.249660
0.033511,-0.000387,5.345987
0.033365,-0.000158,5.442314
0.033197,0.000077,5.538641
0.033006,0.000315,5.634967
0.032791,0.000553,5.731294
0.032549,0.000787,5.827621
0.032280,0.001017,5.923947
0.031982,0.001240,6.020274
0.031655,0.001455,6.116600
0.031296,0.001659,6.212926
0.030906,0.001851,6.309253
0.030483,0.002031,6.405579
0.030029,0.002197,6.501905
0.029543,0.002349,6.598231
0.029024,0.002485,6.694556
0.028474,0.002605,6.790882
0.027892,0.002709,6.887207
0.027280,0.002797,6.983533
0.026638,0.002867,7.079858
0.025965,0.002921,7.176182
0.025264,0.002958,7.272507
0.024534,0.002978,7.368832
0.023777,0.002983,7.465156
0.022991,0.002972,7.561480
0.022179,0.002946,7.657803
0.021339,0.002905,7.754127
0.020472,0.002852,7.850450
0.019579,0.002786,7.946773
0.018659,0.002707,8.043096
0.017712,0.002617,8.139419
0.016739,0.002516,8.235741
0.015739,0.002404,8.332063
0.014713,0.002282,8.428384
0.013661,0.002149,8.524706
0.012583,0.002006,8.621027
0.011479,0.001854,8.717348
0.010351,0.001691,8.813668
0.009200,0.001519,8.909988
0.008026,0.001338,9.006308
0.006832,0.001148,9.102628
0.005618,0.000951,9.198947
0.004389,0.000747,9.295266
0.003146,0.000537,9.391585
0.001892,0.000324,9.487904
0.000631,0.000108,9.584223
