             	node1  Z	node2  Z	node3  Z	node4  Z	node5  Z	node6  Z	node7  Z	node8  Z	node9  Z	node10 Z	node11 Z	node12 Z	node13 Z	node14 Z	node15 Z	node16 Z	node17 Z	node18 Z	node19 Z	node20 Z	node21 Z	node22 Z	node23 Z	node24 Z	node25 Z	node26 Z	node27 Z	node28 Z	node29 Z	node30 Z	node31 Z	node32 Z	node33 Z	node34 Z	node35 Z	node36 Z	node37 Z	node38 Z	node39 Z	node40 Z	node41 Z	node42 Z	node43 Z	node44 Z	node45 Z	node46 Z	node47 Z	node48 Z	node49 Z	node50 Z	node51 Z	node52 Z	node53 Z	node54 Z	node55 Z	node56 Z	node57 Z	node58 Z	node59 Z	node60 Z	node61 Z	node62 Z	node63 Z	node64 Z	node65 Z	node66 Z	node67 Z	node68 Z	node69 Z	node70 Z	node71 Z	node72 Z	node73 Z	node74 Z	node75 Z	node76 Z	node77 Z	node78 Z	node79 Z	node80 Z	node81 Z	node82 Z	node83 Z	node84 Z	node85 Z	node86 Z	node87 Z	node88 Z	node89 Z	node90 Z	node91 Z	node92 Z	node93 Z	node94 Z	node95 Z	node96 Z	node97 Z	node98 Z	node99 Z	node100Z	
Time=0.520000	0.048161	0.144484	0.240806	0.337128	0.433451	0.529774	0.626096	0.722419	0.818742	0.915065	1.011389	1.107712	1.204036	1.300360	1.396684	1.493008	1.589333	1.685657	1.781982	1.878306	1.974631	2.070956	2.167282	2.263607	2.359932	2.456258	2.552583	2.648909	2.745235	2.841561	2.937887	3.034213	3.130539	3.226865	3.323192	3.419518	3.515845	3.612171	3.708498	3.804825	3.901152	3.997479	4.093806	4.190133	4.286460	4.382787	4.479114	4.575441	4.671768	4.768095	4.864423	4.960750	5.057077	5.153404	5.249731	5.346058	5.442385	5.538712	5.635039	5.731366	5.827693	5.924020	6.020347	6.116673	6.213000	6.309326	6.405652	6.501979	6.598305	6.694631	6.790957	6.887283	6.983609	7.079934	7.176260	7.272586	7.368911	7.465236	7.561561	7.657886	7.754211	7.850536	7.946861	8.043185	8.139510	8.235834	8.332158	8.428482	8.524805	8.621129	8.717452	8.813776	8.910099	9.006421	9.102744	9.199067	9.295389	9.391712	9.488034	9.584356	
Time=0.530000	0.048161	0.144484	0.240806	0.337129	0.433451	0.529774	0.626097	0.722420	0.818743	0.915067	1.011390	1.107714	1.204037	1.300361	1.396686	1.493010	1.589334	1.685659	1.781983	1.878308	1.974633	2.070958	2.167283	2.263609	2.359934	2.456260	2.552585	2.648911	2.745237	2.841563	2.937889	3.034215	3.130542	3.226868	3.323195	3.419521	3.515848	3.612174	3.708501	3.804828	3.901155	3.997482	4.093809	4.190136	4.286463	4.382790	4.479117	4.575444	4.671772	4.768099	4.864426	4.960753	5.057080	5.153408	5.249735	5.346062	5.442389	5.538716	5.635043	5.731370	5.827697	5.924024	6.020350	6.116677	6.213004	6.309330	6.405657	6.501983	6.598310	6.694636	6.790962	6.887288	6.983614	7.079939	7.176265	7.272591	7.368916	7.465241	7.561567	7.657892	7.754217	7.850541	7.946866	8.043191	8.139515	8.235839	8.332163	8.428487	8.524811	8.621135	8.717458	8.813781	8.910105	9.006427	9.102750	9.199073	9.295396	9.391718	9.488041	9.584363	
Time=0.540000	0.048161	0.144484	0.240807	0.337129	0.433452	0.529775	0.626098	0.722421	0.818744	0.915068	1.011391	1.107715	1.204039	1.300363	1.396687	1.493011	1.589335	1.685660	1.781984	1.878309	1.974634	2.070959	2.167285	2.263610	2.359935	2.456261	2.552587	2.648912	2.745238	2.841564	2.937891	3.034217	3.130543	3.226870	3.323196	3.419523	3.515850	3.612176	3.708503	3.804830	3.901157	3.997484	4.093811	4.190138	4.286465	4.382792	4.479120	4.575447	4.671774	4.768101	4.864428	4.960755	5.057083	5.153410	5.249737	5.346064	5.442391	5.538718	5.635045	5.731372	5.827699	5.924026	6.020353	6.116680	6.213006	6.309333	6.405660	6.501986	6.598312	6.694639	6.790965	6.887291	6.983617	7.079943	7.176268	7.272594	7.368920	7.465245	7.561570	7.657895	7.754220	7.850545	7.946870	8.043194	8.139519	8.235843	8.332167	8.428491	8.524815	8.621138	8.717462	8.813785	8.910109	9.006432	9.102755	9.199078	9.295400	9.391723	9.488046	9.584368	
Time=0.550000	0.048161	0.144484	0.240807	0.337130	0.433453	0.529776	0.626099	0.722422	0.818745	0.915069	1.011393	1.107716	1.204040	1.300364	1.396688	1.493013	1.589337	1.685662	1.781986	1.878311	1.974636	2.070961	2.167287	2.263612	2.359938	2.456263	2.552589	2.648915	2.745241	2.841567	2.937894	3.034220	3.130546	3.226873	3.323200	3.419526	3.515853	3.612180	3.708507	3.804834	3.901161	3.997488	4.093815	4.190142	4.286469	4.382796	4.479124	4.575451	4.671778	4.768105	4.864432	4.960759	5.057087	5.153414	5.249741	5.346068	5.442395	5.538722	5.635049	5.731377	5.827704	5.924030	6.020357	6.116684	6.213011	6.309338	6.405664	6.501991	6.598318	6.694644	6.790970	6.887296	6.983622	7.079948	7.176274	7.272600	7.368925	7.465251	7.561576	7.657901	7.754226	7.850551	7.946876	8.043200	8.139525	8.235849	8.332173	8.428497	8.524821	8.621145	8.717468	8.813792	8.910115	9.006438	9.102761	9.199085	9.295408	9.391730	9.488053	9.584376	
Time=0.560000	0.048162	0.144485	0.240807	0.337130	0.433453	0.529777	0.626100	0.722423	0.818747	0.915070	1.011394	1.107718	1.204042	1.300366	1.396690	1.493014	1.589339	1.685664	1.781988	1.878313	1.974638	2.070964	2.167289	2.263614	2.359940	2.456266	2.552592	2.648918	2.745244	2.841570	2.937896	3.034223	3.130549	3.226876	3.323203	3.419530	3.515857	3.612183	3.708510	3.804837	3.901164	3.997492	4.093819	4.190146	4.286473	4.382800	4.479127	4.575454	4.671782	4.768109	4.864436	4.960763	5.057090	5.153418	5.249745	5.346072	5.442399	5.538726	5.635053	5.731380	5.827707	5.924034	6.020361	6.116688	6.213015	6.309342	6.405669	6.501995	6.598322	6.694648	6.790975	6.887301	6.983627	7.079953	7.176279	7.272605	7.368930	7.465256	7.561581	7.657906	7.754232	7.850556	7.946881	8.043206	8.139530	8.235855	8.332179	8.428503	8.524827	8.621151	8.717474	8.813798	8.910122	9.006445	9.102768	9.199091	9.295414	9.391737	9.488060	9.584383	
Time=0.570000	0.048162	0.144485	0.240808	0.337131	0.433454	0.529777	0.626100	0.722424	0.818747	0.915071	1.011395	1.107719	1.204043	1.300367	1.396691	1.493015	1.589340	1.685665	1.781990	1.878315	1.974640	2.070965	2.167291	2.263616	2.359942	2.456268	2.552594	2.648920	2.745246	2.841572	2.937899	3.034225	3.130552	3.226878	3.323205	3.419532	3.515859	3.612186	3.708513	3.804840	3.901167	3.997494	4.093821	4.190148	4.286475	4.382802	4.479130	4.575457	4.671784	4.768111	4.864438	4.960765	5.057093	5.153420	5.249747	5.346074	5.442401	5.538728	5.635055	5.731383	5.827710	5.924037	6.020364	6.116691	6.213017	6.309344	6.405671	6.501998	6.598324	6.694651	6.790977	6.887304	6.983630	7.079956	7.176282	7.272608	7.368933	7.465259	7.561584	7.657910	7.754235	7.850560	7.946885	8.043209	8.139534	8.235858	8.332183	8.428507	8.524831	8.621155	8.717478	8.813802	8.910126	9.006449	9.102772	9.199096	9.295419	9.391742	9.488065	9.584388	
Time=0.580000	0.048162	0.144485	0.240808	0.337131	0.433454	0.529777	0.626101	0.722424	0.818748	0.915072	1.011396	1.107719	1.204044	1.300368	1.396692	1.493017	1.589342	1.685666	1.781991	1.878317	1.974642	2.070967	2.167293	2.263618	2.359944	2.456270	2.552596	2.648922	2.745249	2.841575	2.937902	3.034228	3.130555	3.226881	3.323208	3.419535	3.515862	3.612189	3.708516	3.804843	3.901170	3.997497	4.093824	4.190151	4.286478	4.382806	4.479133	4.575460	4.671787	4.768114	4.864441	4.960769	5.057096	5.153423	5.249750	5.346077	5.442404	5.538731	5.635059	5.731386	5.827713	5.924040	6.020367	6.116694	6.213021	6.309347	6.405674	6.502001	6.598328	6.694654	6.790981	6.887307	6.983633	7.079959	7.176285	7.272611	7.368937	7.465263	7.561588	7.657914	7.754239	7.850564	7.946889	8.043214	8.139539	8.235863	8.332188	8.428512	8.524836	8.621160	8.717484	8.813808	8.910131	9.006455	9.102778	9.199102	9.295425	9.391748	9.488071	9.584394	
Time=0.590000	0.048162	0.144485	0.240808	0.337131	0.433454	0.529778	0.626101	0.722425	0.818748	0.915072	1.011396	1.107720	1.204045	1.300369	1.396694	1.493018	1.589343	1.685668	1.781994	1.878319	1.974644	2.070970	2.167296	2.263621	2.359947	2.456273	2.552599	2.648926	2.745252	2.841578	2.937905	3.034232	3.130558	3.226885	3.323212	3.419539	3.515866	3.612192	3.708519	3.804846	3.901174	3.997501	4.093828	4.190155	4.286482	4.382809	4.479136	4.575463	4.671791	4.768118	4.864445	4.960772	5.057099	5.153427	5.249754	5.346081	5.442408	5.538735	5.635062	5.731389	5.827716	5.924043	6.020370	6.116697	6.213024	6.309351	6.405678	6.502005	6.598331	6.694658	6.790984	6.887311	6.983637	7.079963	7.176290	7.272616	7.368942	7.465267	7.561593	7.657919	7.754244	7.850569	7.946894	8.043219	8.139544	8.235869	8.332193	8.428518	8.524842	8.621166	8.717490	8.813814	8.910138	9.006462	9.102785	9.199108	9.295432	9.391755	9.488078	9.584401	
Time=0.600000	0.048162	0.144485	0.240808	0.337131	0.433454	0.529778	0.626101	0.722425	0.818749	0.915073	1.011397	1.107721	1.204046	1.300370	1.396695	1.493020	1.589345	1.685670	1.781995	1.878321	1.974646	2.070972	2.167298	2.263624	2.359950	2.456276	2.552602	2.648928	2.745255	2.841581	2.937908	3.034234	3.130561	3.226888	3.323215	3.419541	3.515868	3.612195	3.708522	3.804849	3.901176	3.997503	4.093830	4.190157	4.286484	4.382812	4.479139	4.575466	4.671793	4.768120	4.864447	4.960775	5.057102	5.153429	5.249756	5.346083	5.442410	5.538738	5.635065	5.731392	5.827719	5.924046	6.020373	6.116700	6.213026	6.309353	6.405680	6.502007	6.598333	6.694660	6.790987	6.887313	6.983639	7.079966	7.176292	7.272618	7.368944	7.465270	7.561596	7.657921	7.754247	7.850572	7.946898	8.043223	8.139548	8.235873	8.332198	8.428522	8.524847	8.621171	8.717495	8.813819	8.910143	9.006466	9.102790	9.199113	9.295437	9.391760	9.488083	9.584406	
Time=0.610000	0.048162	0.144485	0.240808	0.337131	0.433455	0.529778	0.626102	0.722425	0.818749	0.915074	1.011398	1.107722	1.204047	1.300372	1.396696	1.493021	1.589347	1.685672	1.781997	1.878323	1.974649	2.070974	2.167300	2.263626	2.359952	2.456279	2.552605	2.648931	2.745258	2.841584	2.937911	3.034237	3.130564	3.226890	3.323217	3.419544	3.515871	3.612198	3.708525	3.804852	3.901179	3.997506	4.093833	4.190160	4.286487	4.382814	4.479141	4.575468	4.671796	4.768123	4.864450	4.960777	5.057104	5.153431	5.249759	5.346086	5.442413	5.538740	5.635067	5.731394	5.827721	5.924048	6.020375	6.116702	6.213029	6.309355	6.405682	6.502009	6.598336	6.694662	6.790989	6.887315	6.983642	7.079968	7.176294	7.272620	7.368946	7.465272	7.561598	7.657924	7.754250	7.850575	7.946901	8.043226	8.139551	8.235876	8.332201	8.428526	8.524851	8.621175	8.717499	8.813823	8.910147	9.006471	9.102795	9.199118	9.295442	9.391765	9.488088	9.584411	
Time=0.620000	0.048162	0.144485	0.240808	0.337132	0.433455	0.529779	0.626103	0.722426	0.818750	0.915075	1.011399	1.107724	1.204048	1.300373	1.396698	1.493023	1.589349	1.685674	1.782000	1.878325	1.974651	2.070977	2.167303	2.263629	2.359955	2.456282	2.552608	2.648934	2.745261	2.841587	2.937914	3.034240	3.130567	3.226894	3.323220	3.419547	3.515874	3.612201	3.708528	3.804855	3.901182	3.997509	4.093836	4.190163	4.286490	4.382817	4.479144	4.575471	4.671799	4.768126	4.864453	4.960780	5.057107	5.153434	5.249762	5.346089	5.442416	5.538743	5.635070	5.731397	5.827724	5.924051	6.020378	6.116705	6.213032	6.309358	6.405685	6.502012	6.598338	6.694665	6.790992	6.887318	6.983645	7.079971	7.176297	7.272623	7.368950	7.465276	7.561602	7.657928	7.754253	7.850579	7.946904	8.043230	8.139555	8.235880	8.332205	8.428530	8.524855	8.621180	8.717504	8.813828	8.910152	9.006476	9.102800	9.199124	9.295447	9.391770	9.488093	9.584417	
Time=0.630000	0.048162	0.144485	0.240809	0.337132	0.433456	0.529780	0.626104	0.722427	0.818752	0.915076	1.011401	1.107725	1.204050	1.300375	1.396700	1.493026	1.589351	1.685677	1.782002	1.878328	1.974654	2.070980	2.167306	2.263632	2.359958	2.456284	2.552610	2.648937	2.745263	2.841590	2.937916	3.034243	3.130570	3.226896	3.323223	3.419550	3.515877	3.612203	3.708530	3.804857	3.901184	3.997511	4.093838	4.190165	4.286493	4.382820	4.479147	4.575474	4.671801	4.768128	4.864455	4.960783	5.057110	5.153437	5.249764	5.346091	5.442418	5.538745	5.635073	5.731400	5.827727	5.924053	6.020380	6.116707	6.213034	6.309361	6.405688	6.502014	6.598341	6.694667	6.790994	6.887321	6.983647	7.079973	7.176300	7.272626	7.368952	7.465278	7.561604	7.657930	7.754256	7.850582	7.946907	8.043233	8.139558	8.235883	8.332209	8.428534	8.524858	8.621183	8.717508	8.813832	8.910156	9.006480	9.102804	9.199128	9.295452	9.391775	9.488098	9.584422	
Time=0.640000	0.048162	0.144486	0.240809	0.337133	0.433457	0.529781	0.626105	0.722429	0.818753	0.915078	1.011403	1.107727	1.204052	1.300377	1.396702	1.493028	1.589353	1.685679	1.782004	1.878330	1.974656	2.070982	2.167308	2.263634	2.359960	2.456286	2.552613	2.648939	2.745266	2.841592	2.937919	3.034245	3.130572	3.226898	3.323225	3.419552	3.515879	3.612206	3.708532	3.804859	3.901186	3.997513	4.093840	4.190168	4.286495	4.382822	4.479149	4.575476	4.671803	4.768130	4.864458	4.960785	5.057112	5.153439	5.249766	5.346093	5.442420	5.538748	5.635075	5.731402	5.827729	5.924056	6.020382	6.116709	6.213036	6.309363	6.405690	6.502016	6.598343	6.694669	6.790996	6.887323	6.983649	7.079975	7.176302	7.272628	7.368954	7.465280	7.561606	7.657932	7.754258	7.850584	7.946909	8.043235	8.139560	8.235886	8.332211	8.428536	8.524861	8.621186	8.717510	8.813835	8.910159	9.006483	9.102807	9.199131	9.295455	9.391779	9.488102	9.584426	
Time=0.650000	0.048162	0.144486	0.240810	0.337134	0.433458	0.529782	0.626106	0.722431	0.818755	0.915080	1.011405	1.107729	1.204054	1.300380	1.396705	1.493030	1.589356	1.685681	1.782007	1.878333	1.974658	2.070984	2.167310	2.263636	2.359963	2.456289	2.552615	2.648941	2.745268	2.841594	2.937921	3.034247	3.130574	3.226901	3.323227	3.419554	3.515881	3.612208	3.708535	3.804862	3.901189	3.997516	4.093843	4.190170	4.286497	4.382824	4.479151	4.575479	4.671806	4.768133	4.864460	4.960787	5.057114	5.153442	5.249769	5.346096	5.442423	5.538750	5.635077	5.731404	5.827731	5.924058	6.020385	6.116712	6.213039	6.309366	6.405692	6.502019	6.598346	6.694672	6.790999	6.887325	6.983652	7.079978	7.176304	7.272630	7.368957	7.465283	7.561609	7.657935	7.754260	7.850586	7.946912	8.043237	8.139563	8.235888	8.332213	8.428539	8.524864	8.621188	8.717513	8.813838	8.910162	9.006487	9.102811	9.199135	9.295459	9.391783	9.488107	9.584431	
Time=0.660000	0.048162	0.144487	0.240811	0.337135	0.433459	0.529784	0.626108	0.722432	0.818757	0.915082	1.011407	1.107732	1.204057	1.300382	1.396707	1.493032	1.589358	1.685683	1.782009	1.878335	1.974661	2.070986	2.167312	2.263638	2.359965	2.456291	2.552617	2.648943	2.745270	2.841596	2.937923	3.034249	3.130576	3.226903	3.323230	3.419556	3.515883	3.612210	3.708537	3.804864	3.901191	3.997518	4.093845	4.190172	4.286499	4.382827	4.479154	4.575481	4.671808	4.768135	4.864462	4.960790	5.057117	5.153444	5.249771	5.346098	5.442425	5.538752	5.635080	5.731407	5.827734	5.924061	6.020387	6.116714	6.213041	6.309368	6.405695	6.502022	6.598348	6.694675	6.791001	6.887328	6.983654	7.079981	7.176307	7.272633	7.368959	7.465285	7.561611	7.657937	7.754263	7.850588	7.946914	8.043240	8.139565	8.235890	8.332216	8.428541	8.524866	8.621191	8.717516	8.813840	8.910165	9.006490	9.102814	9.199138	9.295463	9.391787	9.488111	9.584435	
Time=0.670000	0.048162	0.144487	0.240811	0.337135	0.433460	0.529785	0.626109	0.722434	0.818759	0.915084	1.011409	1.107733	1.204059	1.300384	1.396709	1.493034	1.589360	1.685685	1.782011	1.878337	1.974662	2.070988	2.167314	2.263640	2.359966	2.456292	2.552619	2.648945	2.745271	2.841598	2.937924	3.034251	3.130578	3.226904	3.323231	3.419558	3.515885	3.612212	3.708539	3.804866	3.901193	3.997520	4.093847	4.190174	4.286501	4.382828	4.479155	4.575482	4.671810	4.768137	4.864464	4.960791	5.057118	5.153446	5.249773	5.346100	5.442427	5.538754	5.635081	5.731408	5.827735	5.924062	6.020389	6.116716	6.213043	6.309370	6.405697	6.502023	6.598350	6.694677	6.791003	6.887330	6.983656	7.079982	7.176309	7.272635	7.368961	7.465287	7.561613	7.657939	7.754264	7.850590	7.946916	8.043241	8.139567	8.235892	8.332217	8.428542	8.524867	8.621192	8.717517	8.813842	8.910167	9.006492	9.102816	9.199141	9.295465	9.391790	9.488114	9.584439	
Time=0.680000	0.048162	0.144487	0.240812	0.337136	0.433461	0.529786	0.626110	0.722435	0.818760	0.915085	1.011410	1.107735	1.204060	1.300385	1.396711	1.493036	1.589361	1.685687	1.782012	1.878338	1.974664	2.070990	2.167316	2.263641	2.359968	2.456294	2.552620	2.648946	2.745273	2.841599	2.937926	3.034252	3.130579	3.226906	3.323232	3.419559	3.515886	3.612213	3.708540	3.804867	3.901194	3.997521	4.093848	4.190175	4.286503	4.382830	4.479157	4.575484	4.671811	4.768138	4.864466	4.960793	5.057120	5.153447	5.249774	5.346101	5.442429	5.538756	5.635083	5.731410	5.827737	5.924064	6.020391	6.116718	6.213045	6.309372	6.405698	6.502025	6.598352	6.694678	6.791005	6.887331	6.983658	7.079984	7.176310	7.272637	7.368963	7.465289	7.561614	7.657940	7.754266	7.850592	7.946917	8.043243	8.139568	8.235893	8.332219	8.428544	8.524869	8.621194	8.717519	8.813844	8.910169	9.006494	9.102818	9.199143	9.295468	9.391792	9.488117	9.584442	
Time=0.690000	0.048162	0.144487	0.240812	0.337136	0.433461	0.529786	0.626111	0.722436	0.818761	0.915086	1.011411	1.107736	1.204061	1.300387	1.396712	1.493037	1.589363	1.685688	1.782014	1.878339	1.974665	2.070991	2.167317	2.263643	2.359969	2.456295	2.552621	2.648948	2.745274	2.841601	2.937927	3.034254	3.130580	3.226907	3.323234	3.419561	3.515888	3.612215	3.708542	3.804869	3.901196	3.997523	4.093850	4.190177	4.286504	4.382831	4.479159	4.575486	4.671813	4.768140	4.864467	4.960794	5.057122	5.153449	5.249776	5.346103	5.442430	5.538757	5.635085	5.731412	5.827739	5.924066	6.020393	6.116720	6.213047	6.309373	6.405700	6.502027	6.598354	6.694680	6.791007	6.887333	6.983660	7.079986	7.176312	7.272638	7.368964	7.465290	7.561616	7.657942	7.754268	7.850594	7.946919	8.043245	8.139570	8.235895	8.332221	8.428546	8.524871	8.621196	8.717521	8.813847	8.910172	9.006496	9.102821	9.199146	9.295471	9.391795	9.488120	9.584445	
Time=0.700000	0.048162	0.144487	0.240812	0.337137	0.433461	0.529786	0.626111	0.722436	0.818761	0.915086	1.011411	1.107736	1.204062	1.300387	1.396713	1.493038	1.589363	1.685689	1.782015	1.878340	1.974666	2.070992	2.167318	2.263644	2.359970	2.456296	2.552622	2.648949	2.745275	2.841602	2.937928	3.034255	3.130582	3.226908	3.323235	3.419562	3.515889	3.612216	3.708543	3.804870	3.901197	3.997524	4.093851	4.190178	4.286505	4.382833	4.479160	4.575487	4.671814	4.768141	4.864469	4.960796	5.057123	5.153450	5.249777	5.346104	5.442432	5.538759	5.635086	5.731413	5.827740	5.924067	6.020394	6.116721	6.213048	6.309375	6.405701	6.502028	6.598355	6.694682	6.791008	6.887335	6.983661	7.079987	7.176314	7.272640	7.368966	7.465292	7.561618	7.657944	7.754269	7.850595	7.946921	8.043246	8.139572	8.235897	8.332223	8.428548	8.524873	8.621198	8.717523	8.813849	8.910174	9.006499	9.102823	9.199148	9.295473	9.391798	9.488122	9.584447	
Time=0.710000	0.048162	0.144487	0.240812	0.337136	0.433461	0.529786	0.626111	0.722436	0.818761	0.915086	1.011411	1.107736	1.204062	1.300387	1.396713	1.493038	1.589364	1.685689	1.782015	1.878341	1.974667	2.070993	2.167319	2.263645	2.359971	2.456297	2.552623	2.648950	2.745276	2.841603	2.937929	3.034256	3.130583	3.226909	3.323236	3.419563	3.515890	3.612217	3.708544	3.804871	3.901198	3.997525	4.093852	4.190179	4.286507	4.382834	4.479161	4.575488	4.671815	4.768142	4.864470	4.960797	5.057124	5.153451	5.249778	5.346105	5.442433	5.538760	5.635087	5.731414	5.827741	5.924068	6.020395	6.116722	6.213049	6.309376	6.405702	6.502029	6.598356	6.694683	6.791009	6.887336	6.983662	7.079988	7.176315	7.272641	7.368967	7.465293	7.561619	7.657945	7.754271	7.850597	7.946922	8.043248	8.139574	8.235899	8.332225	8.428550	8.524875	8.621201	8.717526	8.813851	8.910176	9.006501	9.102826	9.199151	9.295475	9.391800	9.488125	9.584449	
Time=0.720000	0.048162	0.144487	0.240812	0.337136	0.433461	0.529786	0.626111	0.722436	0.818761	0.915086	1.011411	1.107736	1.204062	1.300387	1.396713	1.493038	1.589364	1.685690	1.782015	1.878341	1.974667	2.070993	2.167319	2.263646	2.359972	2.456298	2.552624	2.648951	2.745277	2.841604	2.937931	3.034257	3.130584	3.226911	3.323237	3.419564	3.515891	3.612218	3.708545	3.804872	3.901199	3.997526	4.093853	4.190180	4.286508	4.382835	4.479162	4.575489	4.671816	4.768143	4.864471	4.960798	5.057125	5.153452	5.249779	5.346106	5.442434	5.538761	5.635088	5.731415	5.827742	5.924069	6.020396	6.116723	6.213050	6.309377	6.405703	6.502030	6.598357	6.694684	6.791010	6.887337	6.983663	7.079990	7.176316	7.272642	7.368968	7.465295	7.561621	7.657947	7.754273	7.850599	7.946924	8.043250	8.139576	8.235901	8.332227	8.428552	8.524878	8.621203	8.717528	8.813853	8.910178	9.006503	9.102828	9.199153	9.295478	9.391802	9.488127	9.584452	
Time=0.730000	0.048162	0.144487	0.240811	0.337136	0.433461	0.529785	0.626110	0.722435	0.818760	0.915085	1.011410	1.107736	1.204061	1.300387	1.396712	1.493038	1.589364	1.685690	1.782015	1.878341	1.974667	2.070994	2.167320	2.263646	2.359972	2.456299	2.552625	2.648952	2.745278	2.841605	2.937931	3.034258	3.130585	3.226912	3.323238	3.419565	3.515892	3.612219	3.708546	3.804873	3.901200	3.997527	4.093854	4.190181	4.286508	4.382836	4.479163	4.575490	4.671817	4.768144	4.864471	4.960799	5.057126	5.153453	5.249780	5.346107	5.442434	5.538761	5.635089	5.731416	5.827743	5.924070	6.020397	6.116723	6.213050	6.309377	6.405704	6.502031	6.598358	6.694684	6.791011	6.887337	6.983664	7.079990	7.176317	7.272643	7.368970	7.465296	7.561622	7.657948	7.754274	7.850600	7.946926	8.043252	8.139578	8.235903	8.332229	8.428554	8.524880	8.621205	8.717530	8.813855	8.910181	9.006505	9.102830	9.199155	9.295480	9.391804	9.488129	9.584453	
Time=0.740000	0.048162	0.144487	0.240811	0.337136	0.433460	0.529785	0.626110	0.722434	0.818759	0.915085	1.011410	1.107735	1.204061	1.300386	1.396712	1.493037	1.589363	1.685689	1.782015	1.878341	1.974667	2.070994	2.167320	2.263646	2.359973	2.456299	2.552626	2.648952	2.745279	2.841605	2.937932	3.034259	3.130585	3.226912	3.323239	3.419566	3.515893	3.612220	3.708547	3.804874	3.901201	3.997528	4.093855	4.190182	4.286509	4.382836	4.479163	4.575490	4.671817	4.768145	4.864472	4.960799	5.057126	5.153453	5.249780	5.346108	5.442435	5.538762	5.635089	5.731416	5.827743	5.924070	6.020397	6.116724	6.213051	6.309378	6.405704	6.502031	6.598358	6.694685	6.791011	6.887338	6.983664	7.079991	7.176317	7.272644	7.368970	7.465297	7.561623	7.657949	7.754275	7.850601	7.946927	8.043253	8.139579	8.235905	8.332230	8.428556	8.524881	8.621207	8.717532	8.813857	8.910182	9.006507	9.102832	9.199156	9.295481	9.391805	9.488130	9.584454	
Time=0.750000	0.048162	0.144487	0.240811	0.337135	0.433460	0.529785	0.626109	0.722434	0.818759	0.915084	1.011409	1.107735	1.204060	1.300386	1.396711	1.493037	1.589363	1.685689	1.782015	1.878341	1.974667	2.070994	2.167320	2.263646	2.359973	2.456299	2.552626	2.648952	2.745279	2.841606	2.937932	3.034259	3.130586	3.226913	3.323239	3.419566	3.515893	3.612220	3.708547	3.804874	3.901201	3.997528	4.093855	4.190182	4.286509	4.382836	4.479164	4.575491	4.671818	4.768145	4.864472	4.960800	5.057127	5.153454	5.249781	5.346108	5.442435	5.538762	5.635089	5.731416	5.827743	5.924070	6.020397	6.116724	6.213051	6.309378	6.405705	6.502032	6.598358	6.694685	6.791012	6.887339	6.983665	7.079992	7.176318	7.272645	7.368971	7.465298	7.561624	7.657950	7.754276	7.850603	7.946929	8.043255	8.139580	8.235906	8.332232	8.428557	8.524883	8.621208	8.717533	8.813858	8.910183	9.006508	9.102833	9.199158	9.295482	9.391806	9.488131	9.584455	
Time=0.760000	0.048162	0.144487	0.240811	0.337135	0.433460	0.529785	0.626109	0.722434	0.818759	0.915084	1.011409	1.107734	1.204060	1.300386	1.396711	1.493037	1.589363	1.685689	1.782015	1.878341	1.974667	2.070994	2.167320	2.263646	2.359973	2.456299	2.552626	2.648952	2.745279	2.841606	2.937933	3.034259	3.130586	3.226913	3.323240	3.419567	3.515894	3.612221	3.708547	3.804874	3.901202	3.997529	4.093856	4.190183	4.286510	4.382837	4.479164	4.575491	4.671818	4.768146	4.864473	4.960800	5.057127	5.153454	5.249781	5.346109	5.442436	5.538763	5.635090	5.731417	5.827744	5.924071	6.020398	6.116725	6.213052	6.309379	6.405705	6.502032	6.598359	6.694686	6.791013	6.887339	6.983666	7.079993	7.176319	7.272646	7.368972	7.465299	7.561625	7.657951	7.754277	7.850604	7.946930	8.043256	8.139582	8.235907	8.332233	8.428558	8.524884	8.621209	8.717534	8.813860	8.910185	9.006509	9.102834	9.199159	9.295483	9.391807	9.488132	9.584456	
Time=0.770000	0.048162	0.144487	0.240811	0.337135	0.433460	0.529785	0.626109	0.722434	0.818759	0.915084	1.011409	1.107735	1.204060	1.300386	1.396711	1.493037	1.589363	1.685689	1.782015	1.878341	1.974667	2.070994	2.167320	2.263646	2.359973	2.456299	2.552626	2.648952	2.745279	2.841606	2.937933	3.034259	3.130586	3.226913	3.323240	3.419567	3.515894	3.612221	3.708548	3.804875	3.901202	3.997529	4.093856	4.190183	4.286510	4.382837	4.479164	4.575492	4.671819	4.768146	4.864473	4.960800	5.057127	5.153455	5.249782	5.346109	5.442436	5.538763	5.635090	5.731417	5.827744	5.924071	6.020398	6.116725	6.213052	6.309379	6.405706	6.502033	6.598360	6.694687	6.791013	6.887340	6.983667	7.079993	7.176320	7.272646	7.368973	7.465299	7.561626	7.657952	7.754278	7.850604	7.946930	8.043256	8.139582	8.235908	8.332234	8.428559	8.524885	8.621210	8.717535	8.813860	8.910185	9.006510	9.102835	9.199159	9.295484	9.391808	9.488132	9.584457	
