             	node1  Z	node2  Z	node3  Z	node4  Z	node5  Z	node6  Z	node7  Z	node8  Z	node9  Z	node10 Z	node11 Z	node12 Z	node13 Z	node14 Z	node15 Z	node16 Z	node17 Z	node18 Z	node19 Z	node20 Z	node21 Z	node22 Z	node23 Z	node24 Z	node25 Z	node26 Z	node27 Z	node28 Z	node29 Z	node30 Z	node31 Z	node32 Z	node33 Z	node34 Z	node35 Z	node36 Z	node37 Z	node38 Z	node39 Z	node40 Z	node41 Z	node42 Z	node43 Z	node44 Z	node45 Z	node46 Z	node47 Z	node48 Z	node49 Z	node50 Z	node51 Z	node52 Z	node53 Z	node54 Z	node55 Z	node56 Z	node57 Z	node58 Z	node59 Z	node60 Z	node61 Z	node62 Z	node63 Z	node64 Z	node65 Z	node66 Z	node67 Z	node68 Z	node69 Z	node70 Z	node71 Z	node72 Z	node73 Z	node74 Z	node75 Z	node76 Z	node77 Z	node78 Z	node79 Z	node80 Z	node81 Z	node82 Z	node83 Z	node84 Z	node85 Z	node86 Z	node87 Z	node88 Z	node89 Z	node90 Z	node91 Z	node92 Z	node93 Z	node94 Z	node95 Z	node96 Z	node97 Z	node98 Z	node99 Z	node100Z	
Time=0.100000	0.048162	0.144486	0.240810	0.337134	0.433458	0.529783	0.626107	0.722431	0.818755	0.915080	1.011404	1.107728	1.204053	1.300377	1.396702	1.493026	1.589351	1.685675	1.782000	1.878324	1.974649	2.070973	2.167298	2.263622	2.359947	2.456271	2.552596	2.648920	2.745244	2.841569	2.937893	3.034218	3.130542	3.226867	3.323191	3.419516	3.515840	3.612165	3.708489	3.804814	3.901138	3.997463	4.093787	4.190112	4.286436	4.382761	4.479086	4.575410	4.671735	4.768059	4.864384	4.960708	5.057033	5.153358	5.249682	5.346007	5.442332	5.538657	5.634981	5.731306	5.827631	5.923956	6.020281	6.116606	6.212931	6.309256	6.405581	6.501906	6.598231	6.694557	6.790882	6.887207	6.983533	7.079858	7.176184	7.272509	7.368835	7.465161	7.561487	7.657812	7.754138	7.850464	7.946790	8.043117	8.139443	8.235769	8.332095	8.428422	8.524748	8.621075	8.717401	8.813728	8.910055	9.006381	9.102708	9.199034	9.295361	9.391688	9.488014	9.584341	
Time=0.110000	0.048162	0.144484	0.240807	0.337130	0.433453	0.529776	0.626099	0.722422	0.818745	0.915069	1.011392	1.107715	1.204039	1.300362	1.396686	1.493009	1.589333	1.685656	1.781980	1.878304	1.974628	2.070951	2.167275	2.263599	2.359923	2.456247	2.552571	2.648895	2.745219	2.841543	2.937867	3.034191	3.130516	3.226840	3.323164	3.419488	3.515813	3.612137	3.708462	3.804786	3.901111	3.997435	4.093760	4.190085	4.286410	4.382734	4.479059	4.575384	4.671709	4.768034	4.864359	4.960684	5.057010	5.153335	5.249660	5.345986	5.442311	5.538636	5.634962	5.731287	5.827613	5.923939	6.020264	6.116590	6.212916	6.309242	6.405568	6.501894	6.598220	6.694546	6.790872	6.887198	6.983524	7.079850	7.176176	7.272503	7.368829	7.465155	7.561481	7.657808	7.754134	7.850461	7.946787	8.043114	8.139440	8.235766	8.332093	8.428419	8.524746	8.621072	8.717399	8.813725	8.910052	9.006378	9.102704	9.199031	9.295357	9.391683	9.488009	9.584336	
Time=0.120000	0.048165	0.144496	0.240827	0.337157	0.433488	0.529819	0.626150	0.722480	0.818811	0.915142	1.011473	1.107804	1.204135	1.300467	1.396798	1.493129	1.589460	1.685791	1.782123	1.878454	1.974785	2.071116	2.167447	2.263779	2.360110	2.456441	2.552772	2.649103	2.745434	2.841765	2.938096	3.034427	3.130758	3.227089	3.323419	3.419750	3.516081	3.612411	3.708742	3.805073	3.901403	3.997734	4.094064	4.190394	4.286725	4.383055	4.479385	4.575715	4.672045	4.768375	4.864705	4.961035	5.057365	5.153695	5.250025	5.346354	5.442684	5.539014	5.635343	5.731673	5.828002	5.924331	6.020661	6.116990	6.213319	6.309648	6.405977	6.502306	6.598635	6.694964	6.791293	6.887621	6.983950	7.080279	7.176607	7.272936	7.369264	7.465593	7.561921	7.658249	7.754578	7.850906	7.947234	8.043562	8.139890	8.236218	8.332545	8.428873	8.525201	8.621528	8.717856	8.814183	8.910510	9.006837	9.103164	9.199491	9.295818	9.392144	9.488470	9.584797	
Time=0.130000	0.048163	0.144490	0.240816	0.337143	0.433469	0.529796	0.626123	0.722449	0.818776	0.915103	1.011430	1.107757	1.204084	1.300411	1.396738	1.493066	1.589393	1.685720	1.782048	1.878375	1.974703	2.071030	2.167357	2.263685	2.360012	2.456340	2.552667	2.648995	2.745322	2.841650	2.937977	3.034305	3.130632	3.226960	3.323287	3.419615	3.515942	3.612270	3.708597	3.804925	3.901252	3.997580	4.093907	4.190235	4.286562	4.382890	4.479217	4.575545	4.671872	4.768200	4.864527	4.960855	5.057182	5.153510	5.249837	5.346165	5.442492	5.538820	5.635147	5.731475	5.827802	5.924130	6.020457	6.116785	6.213112	6.309440	6.405767	6.502095	6.598422	6.694750	6.791077	6.887405	6.983732	7.080060	7.176387	7.272715	7.369042	7.465369	7.561697	7.658024	7.754351	7.850679	7.947006	8.043333	8.139660	8.235987	8.332314	8.428641	8.524968	8.621295	8.717621	8.813948	8.910274	9.006601	9.102927	9.199253	9.295579	9.391905	9.488231	9.584557	
Time=0.140000	0.048161	0.144484	0.240806	0.337128	0.433451	0.529773	0.626096	0.722418	0.818741	0.915064	1.011387	1.107710	1.204033	1.300356	1.396680	1.493003	1.589327	1.685650	1.781974	1.878297	1.974621	2.070945	2.167269	2.263593	2.359917	2.456241	2.552565	2.648889	2.745213	2.841537	2.937861	3.034185	3.130510	3.226834	3.323158	3.419483	3.515807	3.612131	3.708456	3.804780	3.901105	3.997429	4.093754	4.190079	4.286403	4.382728	4.479053	4.575377	4.671702	4.768027	4.864352	4.960677	5.057002	5.153327	5.249652	5.345977	5.442302	5.538627	5.634952	5.731277	5.827602	5.923928	6.020253	6.116578	6.212904	6.309229	6.405554	6.501880	6.598206	6.694531	6.790857	6.887182	6.983508	7.079834	7.176160	7.272485	7.368811	7.465137	7.561463	7.657789	7.754115	7.850441	7.946767	8.043093	8.139419	8.235745	8.332071	8.428397	8.524723	8.621048	8.717374	8.813700	8.910026	9.006352	9.102677	9.199003	9.295329	9.391655	9.487980	9.584306	
Time=0.150000	0.048164	0.144491	0.240818	0.337145	0.433473	0.529800	0.626128	0.722455	0.818783	0.915110	1.011438	1.107766	1.204094	1.300422	1.396750	1.493078	1.589406	1.685734	1.782063	1.878391	1.974719	2.071048	2.167376	2.263704	2.360033	2.456361	2.552690	2.649018	2.745347	2.841675	2.938004	3.034332	3.130661	3.226989	3.323317	3.419646	3.515974	3.612302	3.708631	3.804959	3.901287	3.997616	4.093944	4.190272	4.286600	4.382928	4.479257	4.575585	4.671913	4.768241	4.864569	4.960897	5.057225	5.153553	5.249881	5.346209	5.442537	5.538865	5.635193	5.731521	5.827849	5.924177	6.020505	6.116833	6.213161	6.309489	6.405816	6.502144	6.598472	6.694800	6.791128	6.887455	6.983783	7.080111	7.176438	7.272766	7.369094	7.465421	7.561749	7.658076	7.754403	7.850731	7.947058	8.043385	8.139712	8.236039	8.332365	8.428692	8.525019	8.621345	8.717671	8.813998	8.910324	9.006650	9.102976	9.199302	9.295627	9.391953	9.488278	9.584604	
Time=0.160000	0.048164	0.144491	0.240818	0.337145	0.433472	0.529799	0.626127	0.722454	0.818781	0.915109	1.011437	1.107764	1.204092	1.300420	1.396748	1.493076	1.589404	1.685732	1.782061	1.878389	1.974717	2.071046	2.167375	2.263703	2.360032	2.456360	2.552689	2.649018	2.745347	2.841675	2.938004	3.034333	3.130662	3.226991	3.323319	3.419648	3.515977	3.612306	3.708635	3.804963	3.901292	3.997621	4.093950	4.190278	4.286607	4.382936	4.479265	4.575593	4.671922	4.768251	4.864579	4.960908	5.057236	5.153565	5.249893	5.346222	5.442551	5.538879	5.635207	5.731536	5.827864	5.924193	6.020521	6.116849	6.213178	6.309506	6.405834	6.502162	6.598490	6.694819	6.791147	6.887475	6.983803	7.080131	7.176458	7.272786	7.369114	7.465441	7.561769	7.658096	7.754424	7.850751	7.947078	8.043405	8.139732	8.236059	8.332386	8.428713	8.525039	8.621365	8.717692	8.814018	8.910344	9.006670	9.102996	9.199322	9.295647	9.391973	9.488298	9.584624	
Time=0.170000	0.048162	0.144485	0.240808	0.337131	0.433455	0.529778	0.626102	0.722425	0.818749	0.915073	1.011396	1.107720	1.204044	1.300368	1.396692	1.493017	1.589341	1.685666	1.781990	1.878315	1.974639	2.070964	2.167289	2.263614	2.359939	2.456264	2.552589	2.648914	2.745239	2.841564	2.937889	3.034215	3.130540	3.226865	3.323191	3.419516	3.515841	3.612167	3.708492	3.804817	3.901143	3.997468	4.093794	4.190119	4.286445	4.382770	4.479096	4.575421	4.671747	4.768072	4.864398	4.960723	5.057049	5.153375	5.249700	5.346026	5.442352	5.538678	5.635003	5.731329	5.827655	5.923981	6.020307	6.116633	6.212959	6.309285	6.405611	6.501937	6.598263	6.694589	6.790915	6.887241	6.983567	7.079893	7.176219	7.272545	7.368871	7.465197	7.561523	7.657849	7.754175	7.850500	7.946826	8.043152	8.139478	8.235803	8.332129	8.428455	8.524780	8.621106	8.717431	8.813756	8.910082	9.006407	9.102732	9.199057	9.295382	9.391707	9.488032	9.584357	
Time=0.180000	0.048162	0.144487	0.240811	0.337136	0.433460	0.529785	0.626110	0.722435	0.818760	0.915085	1.011410	1.107735	1.204060	1.300386	1.396711	1.493037	1.589363	1.685688	1.782014	1.878340	1.974666	2.070992	2.167319	2.263645	2.359971	2.456298	2.552624	2.648951	2.745277	2.841604	2.937931	3.034257	3.130584	3.226911	3.323238	3.419565	3.515891	3.612218	3.708545	3.804872	3.901199	3.997526	4.093853	4.190180	4.286507	4.382834	4.479161	4.575488	4.671815	4.768142	4.864469	4.960796	5.057123	5.153450	5.249778	5.346105	5.442432	5.538759	5.635086	5.731413	5.827740	5.924067	6.020394	6.116721	6.213048	6.309375	6.405702	6.502029	6.598356	6.694683	6.791010	6.887337	6.983664	7.079990	7.176317	7.272644	7.368970	7.465297	7.561623	7.657950	7.754276	7.850602	7.946929	8.043255	8.139581	8.235907	8.332233	8.428558	8.524884	8.621210	8.717535	8.813861	8.910186	9.006511	9.102836	9.199162	9.295487	9.391811	9.488136	9.584461	
Time=0.190000	0.048163	0.144490	0.240816	0.337143	0.433470	0.529796	0.626123	0.722450	0.818777	0.915104	1.011431	1.107758	1.204086	1.300413	1.396741	1.493068	1.589396	1.685724	1.782052	1.878379	1.974707	2.071035	2.167363	2.263692	2.360020	2.456348	2.552676	2.649005	2.745333	2.841662	2.937990	3.034318	3.130647	3.226976	3.323304	3.419633	3.515961	3.612290	3.708618	3.804947	3.901276	3.997604	4.093933	4.190261	4.286590	4.382918	4.479247	4.575575	4.671904	4.768232	4.864560	4.960889	5.057217	5.153545	5.249874	5.346202	5.442530	5.538858	5.635187	5.731515	5.827843	5.924171	6.020499	6.116827	6.213155	6.309483	6.405811	6.502139	6.598467	6.694794	6.791122	6.887450	6.983777	7.080105	7.176432	7.272759	7.369086	7.465414	7.561740	7.658067	7.754394	7.850721	7.947047	8.043374	8.139700	8.236026	8.332353	8.428679	8.525005	8.621330	8.717656	8.813981	8.910307	9.006632	9.102957	9.199282	9.295607	9.391932	9.488256	9.584581	
