             	node1  X	node2  X	node3  X	node4  X	node5  X	node6  X	node7  X	node8  X	node9  X	node10 X	node11 X	node12 X	node13 X	node14 X	node15 X	node16 X	node17 X	node18 X	node19 X	node20 X	node21 X	node22 X	node23 X	node24 X	node25 X	node26 X	node27 X	node28 X	node29 X	node30 X	node31 X	node32 X	node33 X	node34 X	node35 X	node36 X	node37 X	node38 X	node39 X	node40 X	node41 X	node42 X	node43 X	node44 X	node45 X	node46 X	node47 X	node48 X	node49 X	node50 X	node51 X	node52 X	node53 X	node54 X	node55 X	node56 X	node57 X	node58 X	node59 X	node60 X	node61 X	node62 X	node63 X	node64 X	node65 X	node66 X	node67 X	node68 X	node69 X	node70 X	node71 X	node72 X	node73 X	node74 X	node75 X	node76 X	node77 X	node78 X	node79 X	node80 X	node81 X	node82 X	node83 X	node84 X	node85 X	node86 X	node87 X	node88 X	node89 X	node90 X	node91 X	node92 X	node93 X	node94 X	node95 X	node96 X	node97 X	node98 X	node99 X	node100X	
Time=0.100000	0.000158	0.000472	0.000778	0.001073	0.001354	0.001619	0.001866	0.002095	0.002306	0.002498	0.002671	0.002826	0.002964	0.003085	0.003191	0.003282	0.003360	0.003426	0.003480	0.003525	0.003562	0.003591	0.003614	0.003632	0.003645	0.003654	0.003660	0.003663	0.003665	0.003664	0.003663	0.003660	0.003656	0.003652	0.003647	0.003642	0.003637	0.003633	0.003628	0.003624	0.003620	0.003617	0.003614	0.003612	0.003610	0.003608	0.003607	0.003607	0.003607	0.003607	0.003607	0.003608	0.003608	0.003609	0.003611	0.003612	0.003613	0.003615	0.003616	0.003618	0.003619	0.003621	0.003622	0.003624	0.003626	0.003629	0.003632	0.003636	0.003640	0.003644	0.003648	0.003652	0.003654	0.003654	0.003651	0.003645	0.003633	0.003616	0.003592	0.003561	0.003523	0.003476	0.003420	0.003354	0.003277	0.003188	0.003084	0.002966	0.002831	0.002677	0.002504	0.002312	0.002099	0.001867	0.001617	0.001350	0.001068	0.000773	0.000468	0.000157	
Time=0.110000	0.000188	0.000561	0.000927	0.001282	0.001622	0.001947	0.002253	0.002541	0.002809	0.003056	0.003283	0.003490	0.003677	0.003845	0.003995	0.004127	0.004242	0.004342	0.004427	0.004499	0.004560	0.004609	0.004649	0.004681	0.004706	0.004725	0.004739	0.004749	0.004755	0.004758	0.004759	0.004758	0.004756	0.004753	0.004749	0.004744	0.004739	0.004733	0.004727	0.004722	0.004716	0.004711	0.004706	0.004702	0.004698	0.004695	0.004693	0.004691	0.004690	0.004690	0.004690	0.004691	0.004692	0.004693	0.004695	0.004697	0.004698	0.004700	0.004703	0.004705	0.004708	0.004711	0.004715	0.004720	0.004725	0.004730	0.004736	0.004742	0.004747	0.004751	0.004753	0.004752	0.004747	0.004738	0.004724	0.004704	0.004678	0.004644	0.004603	0.004553	0.004493	0.004422	0.004338	0.004240	0.004126	0.003995	0.003845	0.003677	0.003488	0.003279	0.003049	0.002800	0.002532	0.002244	0.001939	0.001616	0.001277	0.000924	0.000560	0.000188	
Time=0.120000	0.000215	0.000644	0.001065	0.001476	0.001873	0.002255	0.002619	0.002964	0.003290	0.003594	0.003878	0.004141	0.004382	0.004602	0.004802	0.004982	0.005143	0.005285	0.005410	0.005519	0.005612	0.005692	0.005758	0.005813	0.005858	0.005894	0.005921	0.005942	0.005957	0.005968	0.005974	0.005977	0.005978	0.005976	0.005973	0.005969	0.005964	0.005958	0.005952	0.005945	0.005939	0.005933	0.005927	0.005921	0.005916	0.005912	0.005908	0.005905	0.005903	0.005901	0.005900	0.005900	0.005900	0.005901	0.005902	0.005905	0.005908	0.005911	0.005916	0.005922	0.005928	0.005935	0.005943	0.005951	0.005958	0.005965	0.005971	0.005974	0.005975	0.005973	0.005967	0.005956	0.005940	0.005918	0.005890	0.005854	0.005810	0.005755	0.005690	0.005611	0.005519	0.005411	0.005285	0.005142	0.004980	0.004798	0.004597	0.004376	0.004134	0.003872	0.003590	0.003288	0.002965	0.002622	0.002260	0.001880	0.001482	0.001071	0.000647	0.000217	
Time=0.130000	0.000240	0.000717	0.001188	0.001649	0.002097	0.002531	0.002948	0.003347	0.003727	0.004087	0.004427	0.004746	0.005043	0.005319	0.005574	0.005807	0.006020	0.006212	0.006384	0.006538	0.006674	0.006793	0.006896	0.006984	0.007058	0.007120	0.007171	0.007211	0.007242	0.007266	0.007283	0.007294	0.007301	0.007304	0.007304	0.007302	0.007298	0.007293	0.007287	0.007281	0.007274	0.007268	0.007261	0.007255	0.007249	0.007243	0.007238	0.007233	0.007229	0.007225	0.007223	0.007222	0.007221	0.007223	0.007225	0.007229	0.007235	0.007241	0.007250	0.007258	0.007268	0.007277	0.007286	0.007293	0.007299	0.007303	0.007303	0.007300	0.007293	0.007281	0.007264	0.007241	0.007210	0.007170	0.007121	0.007060	0.006987	0.006899	0.006796	0.006677	0.006540	0.006385	0.006212	0.006019	0.005806	0.005573	0.005319	0.005045	0.004749	0.004432	0.004094	0.003734	0.003353	0.002953	0.002534	0.002099	0.001649	0.001187	0.000716	0.000239	
Time=0.140000	0.000262	0.000783	0.001299	0.001805	0.002300	0.002781	0.003246	0.003695	0.004126	0.004538	0.004930	0.005303	0.005654	0.005985	0.006295	0.006584	0.006851	0.007098	0.007323	0.007528	0.007713	0.007879	0.008026	0.008155	0.008268	0.008365	0.008447	0.008516	0.008572	0.008618	0.008653	0.008680	0.008700	0.008713	0.008721	0.008725	0.008725	0.008722	0.008718	0.008712	0.008705	0.008698	0.008690	0.008683	0.008675	0.008668	0.008661	0.008656	0.008651	0.008648	0.008646	0.008645	0.008647	0.008650	0.008655	0.008661	0.008668	0.008677	0.008686	0.008694	0.008703	0.008710	0.008716	0.008719	0.008720	0.008717	0.008710	0.008697	0.008679	0.008653	0.008618	0.008574	0.008518	0.008450	0.008368	0.008270	0.008157	0.008027	0.007879	0.007713	0.007528	0.007324	0.007099	0.006855	0.006589	0.006301	0.005992	0.005661	0.005308	0.004934	0.004540	0.004126	0.003693	0.003243	0.002776	0.002295	0.001801	0.001296	0.000781	0.000261	
Time=0.150000	0.000282	0.000844	0.001400	0.001948	0.002484	0.003008	0.003518	0.004011	0.004489	0.004948	0.005389	0.005812	0.006214	0.006597	0.006960	0.007302	0.007623	0.007924	0.008203	0.008461	0.008699	0.008916	0.009113	0.009290	0.009448	0.009587	0.009710	0.009816	0.009906	0.009983	0.010046	0.010097	0.010138	0.010169	0.010192	0.010208	0.010217	0.010222	0.010222	0.010219	0.010214	0.010207	0.010199	0.010191	0.010183	0.010176	0.010170	0.010165	0.010162	0.010160	0.010160	0.010162	0.010165	0.010170	0.010176	0.010183	0.010189	0.010196	0.010203	0.010209	0.010213	0.010215	0.010215	0.010210	0.010202	0.010187	0.010166	0.010136	0.010097	0.010046	0.009984	0.009908	0.009817	0.009710	0.009588	0.009448	0.009290	0.009113	0.008917	0.008701	0.008464	0.008207	0.007928	0.007628	0.007307	0.006964	0.006600	0.006216	0.005812	0.005389	0.004948	0.004489	0.004012	0.003520	0.003011	0.002488	0.001952	0.001404	0.000846	0.000283	
Time=0.160000	0.000300	0.000899	0.001493	0.002078	0.002653	0.003216	0.003765	0.004299	0.004818	0.005320	0.005805	0.006273	0.006722	0.007152	0.007563	0.007955	0.008327	0.008678	0.009010	0.009320	0.009610	0.009880	0.010129	0.010357	0.010565	0.010754	0.010924	0.011074	0.011208	0.011324	0.011424	0.011509	0.011580	0.011638	0.011685	0.011721	0.011747	0.011766	0.011778	0.011785	0.011787	0.011786	0.011783	0.011778	0.011774	0.011769	0.011765	0.011762	0.011761	0.011760	0.011762	0.011764	0.011768	0.011772	0.011776	0.011781	0.011785	0.011789	0.011791	0.011790	0.011787	0.011779	0.011766	0.011746	0.011719	0.011682	0.011636	0.011577	0.011506	0.011422	0.011322	0.011207	0.011074	0.010925	0.010756	0.010569	0.010362	0.010135	0.009887	0.009617	0.009327	0.009016	0.008683	0.008331	0.007958	0.007566	0.007155	0.006725	0.006277	0.005811	0.005327	0.004826	0.004308	0.003773	0.003224	0.002660	0.002083	0.001497	0.000901	0.000301	
Time=0.170000	0.000318	0.000953	0.001582	0.002203	0.002814	0.003412	0.003998	0.004570	0.005126	0.005667	0.006191	0.006699	0.007189	0.007662	0.008116	0.008553	0.008971	0.009370	0.009749	0.010109	0.010449	0.010770	0.011070	0.011350	0.011610	0.011850	0.012071	0.012271	0.012452	0.012614	0.012758	0.012885	0.012994	0.013088	0.013168	0.013234	0.013288	0.013331	0.013365	0.013390	0.013409	0.013423	0.013432	0.013437	0.013440	0.013442	0.013442	0.013443	0.013443	0.013443	0.013444	0.013445	0.013447	0.013448	0.013449	0.013449	0.013447	0.013443	0.013434	0.013421	0.013401	0.013374	0.013339	0.013294	0.013238	0.013170	0.013088	0.012993	0.012883	0.012756	0.012613	0.012452	0.012272	0.012073	0.011855	0.011616	0.011356	0.011077	0.010776	0.010456	0.010115	0.009755	0.009376	0.008978	0.008561	0.008125	0.007671	0.007198	0.006708	0.006199	0.005674	0.005132	0.004574	0.004001	0.003413	0.002813	0.002202	0.001581	0.000952	0.000318	
Time=0.180000	0.000335	0.001004	0.001668	0.002323	0.002969	0.003602	0.004223	0.004830	0.005421	0.005998	0.006558	0.007102	0.007630	0.008141	0.008634	0.009111	0.009570	0.010012	0.010435	0.010840	0.011227	0.011594	0.011943	0.012272	0.012582	0.012872	0.013143	0.013393	0.013624	0.013835	0.014027	0.014200	0.014356	0.014494	0.014615	0.014721	0.014813	0.014891	0.014957	0.015012	0.015057	0.015094	0.015123	0.015146	0.015163	0.015176	0.015186	0.015192	0.015197	0.015199	0.015200	0.015199	0.015196	0.015192	0.015184	0.015172	0.015156	0.015135	0.015106	0.015070	0.015025	0.014970	0.014903	0.014824	0.014731	0.014624	0.014501	0.014362	0.014205	0.014031	0.013837	0.013625	0.013394	0.013143	0.012872	0.012582	0.012273	0.011944	0.011597	0.011230	0.010845	0.010442	0.010019	0.009579	0.009120	0.008644	0.008149	0.007637	0.007108	0.006563	0.006001	0.005423	0.004831	0.004224	0.003604	0.002970	0.002325	0.001669	0.001005	0.000336	
Time=0.190000	0.000352	0.001054	0.001751	0.002439	0.003118	0.003785	0.004439	0.005079	0.005704	0.006314	0.006909	0.007487	0.008050	0.008596	0.009125	0.009638	0.010135	0.010614	0.011076	0.011522	0.011949	0.012359	0.012751	0.013125	0.013480	0.013817	0.014135	0.014434	0.014714	0.014975	0.015217	0.015441	0.015647	0.015835	0.016005	0.016159	0.016297	0.016419	0.016527	0.016621	0.016702	0.016771	0.016830	0.016879	0.016919	0.016951	0.016975	0.016994	0.017006	0.017012	0.017013	0.017009	0.016998	0.016981	0.016958	0.016927	0.016888	0.016840	0.016782	0.016713	0.016633	0.016540	0.016433	0.016311	0.016174	0.016020	0.015849	0.015660	0.015453	0.015227	0.014983	0.014719	0.014438	0.014137	0.013818	0.013481	0.013126	0.012753	0.012361	0.011952	0.011526	0.011081	0.010619	0.010140	0.009644	0.009131	0.008601	0.008055	0.007493	0.006914	0.006320	0.005711	0.005085	0.004446	0.003791	0.003124	0.002444	0.001754	0.001056	0.000353	
