             	node1  X	node2  X	node3  X	node4  X	node5  X	node6  X	node7  X	node8  X	node9  X	node10 X	node11 X	node12 X	node13 X	node14 X	node15 X	node16 X	node17 X	node18 X	node19 X	node20 X	node21 X	node22 X	node23 X	node24 X	node25 X	node26 X	node27 X	node28 X	node29 X	node30 X	node31 X	node32 X	node33 X	node34 X	node35 X	node36 X	node37 X	node38 X	node39 X	node40 X	node41 X	node42 X	node43 X	node44 X	node45 X	node46 X	node47 X	node48 X	node49 X	node50 X	node51 X	node52 X	node53 X	node54 X	node55 X	node56 X	node57 X	node58 X	node59 X	node60 X	node61 X	node62 X	node63 X	node64 X	node65 X	node66 X	node67 X	node68 X	node69 X	node70 X	node71 X	node72 X	node73 X	node74 X	node75 X	node76 X	node77 X	node78 X	node79 X	node80 X	node81 X	node82 X	node83 X	node84 X	node85 X	node86 X	node87 X	node88 X	node89 X	node90 X	node91 X	node92 X	node93 X	node94 X	node95 X	node96 X	node97 X	node98 X	node99 X	node100X	
Time=0.510000	0.000495	0.001483	0.002465	0.003439	0.004402	0.005351	0.006287	0.007206	0.008108	0.008993	0.009859	0.010706	0.011534	0.012342	0.013131	0.013899	0.014648	0.015378	0.016088	0.016779	0.017451	0.018104	0.018740	0.019357	0.019957	0.020539	0.021103	0.021651	0.022181	0.022694	0.023190	0.023668	0.024127	0.024569	0.024991	0.025393	0.025774	0.026134	0.026472	0.026786	0.027076	0.027340	0.027578	0.027789	0.027971	0.028125	0.028248	0.028342	0.028405	0.028436	0.028437	0.028406	0.028344	0.028251	0.028128	0.027976	0.027794	0.027584	0.027346	0.027082	0.026792	0.026478	0.026140	0.025780	0.025398	0.024995	0.024573	0.024131	0.023670	0.023191	0.022695	0.022181	0.021650	0.021102	0.020536	0.019954	0.019354	0.018736	0.018101	0.017448	0.016776	0.016085	0.015375	0.014647	0.013898	0.013130	0.012342	0.011534	0.010707	0.009861	0.008995	0.008111	0.007208	0.006289	0.005354	0.004404	0.003441	0.002466	0.001484	0.000495	
Time=0.520000	0.000489	0.001464	0.002435	0.003396	0.004347	0.005285	0.006209	0.007118	0.008009	0.008884	0.009740	0.010578	0.011397	0.012196	0.012976	0.013737	0.014478	0.015200	0.015902	0.016586	0.017249	0.017894	0.018520	0.019128	0.019716	0.020286	0.020838	0.021371	0.021885	0.022381	0.022858	0.023316	0.023755	0.024173	0.024572	0.024949	0.025306	0.025641	0.025953	0.026242	0.026508	0.026749	0.026965	0.027156	0.027321	0.027459	0.027570	0.027654	0.027710	0.027738	0.027739	0.027711	0.027656	0.027573	0.027463	0.027325	0.027161	0.026971	0.026755	0.026514	0.026249	0.025959	0.025647	0.025312	0.024956	0.024578	0.024179	0.023760	0.023321	0.022862	0.022385	0.021888	0.021373	0.020839	0.020287	0.019717	0.019128	0.018520	0.017893	0.017248	0.016584	0.015901	0.015198	0.014476	0.013735	0.012974	0.012194	0.011395	0.010576	0.009738	0.008882	0.008008	0.007116	0.006208	0.005284	0.004346	0.003396	0.002434	0.001464	0.000489	
Time=0.530000	0.000481	0.001442	0.002398	0.003345	0.004282	0.005207	0.006118	0.007014	0.007895	0.008758	0.009605	0.010434	0.011245	0.012038	0.012812	0.013567	0.014303	0.015020	0.015718	0.016397	0.017056	0.017695	0.018315	0.018916	0.019496	0.020057	0.020597	0.021117	0.021616	0.022095	0.022553	0.022989	0.023404	0.023798	0.024170	0.024520	0.024847	0.025152	0.025434	0.025694	0.025930	0.026144	0.026334	0.026500	0.026643	0.026763	0.026858	0.026930	0.026978	0.027003	0.027003	0.026979	0.026932	0.026861	0.026766	0.026647	0.026504	0.026338	0.026149	0.025936	0.025699	0.025440	0.025158	0.024853	0.024526	0.024176	0.023804	0.023411	0.022995	0.022559	0.022101	0.021622	0.021122	0.020602	0.020061	0.019500	0.018919	0.018318	0.017697	0.017057	0.016397	0.015718	0.015019	0.014301	0.013564	0.012809	0.012034	0.011241	0.010430	0.009600	0.008753	0.007889	0.007009	0.006113	0.005202	0.004278	0.003342	0.002395	0.001441	0.000481	
Time=0.540000	0.000473	0.001417	0.002357	0.003288	0.004210	0.005120	0.006018	0.006902	0.007771	0.008624	0.009462	0.010283	0.011087	0.011874	0.012642	0.013393	0.014126	0.014839	0.015534	0.016209	0.016865	0.017500	0.018115	0.018709	0.019281	0.019832	0.020361	0.020868	0.021352	0.021813	0.022251	0.022666	0.023058	0.023426	0.023771	0.024092	0.024390	0.024665	0.024917	0.025146	0.025354	0.025539	0.025703	0.025845	0.025966	0.026067	0.026147	0.026207	0.026247	0.026267	0.026267	0.026248	0.026208	0.026148	0.026069	0.025968	0.025847	0.025705	0.025542	0.025357	0.025150	0.024921	0.024670	0.024395	0.024097	0.023777	0.023432	0.023065	0.022674	0.022259	0.021821	0.021360	0.020876	0.020369	0.019839	0.019288	0.018715	0.018120	0.017504	0.016868	0.016211	0.015535	0.014839	0.014124	0.013391	0.012639	0.011869	0.011081	0.010277	0.009455	0.008617	0.007764	0.006895	0.006011	0.005114	0.004205	0.003284	0.002353	0.001415	0.000472	
Time=0.550000	0.000465	0.001393	0.002316	0.003232	0.004139	0.005035	0.005920	0.006791	0.007649	0.008492	0.009321	0.010134	0.010931	0.011712	0.012475	0.013221	0.013949	0.014658	0.015348	0.016019	0.016669	0.017298	0.017906	0.018492	0.019055	0.019595	0.020111	0.020603	0.021071	0.021514	0.021933	0.022327	0.022695	0.023039	0.023359	0.023654	0.023926	0.024175	0.024401	0.024604	0.024787	0.024948	0.025090	0.025212	0.025316	0.025401	0.025469	0.025519	0.025552	0.025569	0.025569	0.025552	0.025519	0.025469	0.025401	0.025316	0.025213	0.025091	0.024950	0.024789	0.024607	0.024404	0.024178	0.023931	0.023660	0.023365	0.023046	0.022702	0.022334	0.021941	0.021523	0.021080	0.020612	0.020120	0.019603	0.019063	0.018499	0.017913	0.017304	0.016674	0.016022	0.015350	0.014659	0.013948	0.013219	0.012472	0.011707	0.010926	0.010128	0.009314	0.008485	0.007642	0.006784	0.005913	0.005029	0.004134	0.003228	0.002313	0.001391	0.000464	
Time=0.560000	0.000458	0.001371	0.002280	0.003183	0.004076	0.004960	0.005832	0.006692	0.007539	0.008373	0.009192	0.009997	0.010786	0.011559	0.012315	0.013054	0.013774	0.014476	0.015158	0.015821	0.016462	0.017081	0.017678	0.018252	0.018802	0.019328	0.019829	0.020305	0.020756	0.021181	0.021580	0.021954	0.022303	0.022627	0.022926	0.023201	0.023453	0.023681	0.023888	0.024074	0.024239	0.024385	0.024512	0.024621	0.024713	0.024788	0.024848	0.024892	0.024921	0.024936	0.024935	0.024921	0.024892	0.024847	0.024788	0.024712	0.024621	0.024512	0.024385	0.024240	0.024076	0.023891	0.023684	0.023456	0.023206	0.022931	0.022633	0.022310	0.021962	0.021588	0.021189	0.020764	0.020313	0.019837	0.019336	0.018809	0.018259	0.017684	0.017086	0.016466	0.015824	0.015161	0.014478	0.013775	0.013053	0.012313	0.011556	0.010783	0.009993	0.009188	0.008369	0.007535	0.006688	0.005828	0.004956	0.004073	0.003180	0.002278	0.001370	0.000457	
Time=0.570000	0.000452	0.001355	0.002253	0.003145	0.004028	0.004901	0.005763	0.006613	0.007450	0.008274	0.009083	0.009877	0.010656	0.011418	0.012163	0.012891	0.013600	0.014289	0.014959	0.015607	0.016234	0.016838	0.017419	0.017977	0.018511	0.019019	0.019503	0.019962	0.020395	0.020803	0.021186	0.021543	0.021876	0.022185	0.022470	0.022732	0.022971	0.023188	0.023385	0.023561	0.023718	0.023857	0.023978	0.024082	0.024169	0.024241	0.024298	0.024340	0.024368	0.024382	0.024382	0.024368	0.024340	0.024298	0.024241	0.024170	0.024082	0.023979	0.023858	0.023720	0.023563	0.023387	0.023191	0.022974	0.022736	0.022475	0.022190	0.021882	0.021549	0.021192	0.020809	0.020402	0.019968	0.019509	0.019025	0.018516	0.017982	0.017424	0.016843	0.016238	0.015610	0.014961	0.014292	0.013602	0.012892	0.012164	0.011419	0.010656	0.009877	0.009083	0.008273	0.007450	0.006612	0.005762	0.004900	0.004027	0.003144	0.002253	0.001355	0.000452	
Time=0.580000	0.000449	0.001345	0.002236	0.003120	0.003996	0.004861	0.005714	0.006555	0.007382	0.008195	0.008993	0.009774	0.010540	0.011287	0.012017	0.012729	0.013420	0.014092	0.014743	0.015372	0.015979	0.016564	0.017125	0.017663	0.018177	0.018667	0.019132	0.019574	0.019991	0.020384	0.020753	0.021098	0.021421	0.021720	0.021998	0.022254	0.022489	0.022703	0.022898	0.023074	0.023232	0.023371	0.023494	0.023600	0.023690	0.023764	0.023823	0.023867	0.023896	0.023910	0.023911	0.023896	0.023867	0.023824	0.023765	0.023691	0.023601	0.023496	0.023373	0.023234	0.023077	0.022901	0.022706	0.022492	0.022257	0.022001	0.021724	0.021424	0.021102	0.020756	0.020387	0.019994	0.019577	0.019136	0.018670	0.018180	0.017666	0.017128	0.016567	0.015982	0.015375	0.014746	0.014095	0.013424	0.012732	0.012021	0.011292	0.010544	0.009779	0.008997	0.008199	0.007386	0.006559	0.005718	0.004864	0.003998	0.003123	0.002238	0.001346	0.000449	
Time=0.590000	0.000447	0.001339	0.002227	0.003106	0.003976	0.004835	0.005680	0.006512	0.007329	0.008129	0.008913	0.009680	0.010428	0.011158	0.011868	0.012559	0.013229	0.013878	0.014505	0.015111	0.015695	0.016257	0.016796	0.017312	0.017805	0.018276	0.018724	0.019150	0.019553	0.019934	0.020294	0.020632	0.020949	0.021246	0.021522	0.021779	0.022017	0.022235	0.022435	0.022618	0.022782	0.022929	0.023059	0.023172	0.023269	0.023349	0.023413	0.023461	0.023493	0.023509	0.023510	0.023494	0.023462	0.023415	0.023351	0.023271	0.023175	0.023062	0.022932	0.022785	0.022621	0.022439	0.022238	0.022019	0.021782	0.021525	0.021248	0.020951	0.020633	0.020295	0.019935	0.019554	0.019150	0.018725	0.018277	0.017806	0.017313	0.016797	0.016259	0.015698	0.015115	0.014510	0.013883	0.013234	0.012565	0.011875	0.011165	0.010436	0.009688	0.008921	0.008137	0.007336	0.006519	0.005687	0.004841	0.003981	0.003110	0.002230	0.001341	0.000448	
Time=0.600000	0.000446	0.001335	0.002219	0.003095	0.003960	0.004812	0.005649	0.006471	0.007276	0.008063	0.008831	0.009580	0.010309	0.011018	0.011706	0.012373	0.013018	0.013642	0.014245	0.014826	0.015385	0.015923	0.016439	0.016934	0.017409	0.017862	0.018295	0.018708	0.019101	0.019474	0.019829	0.020164	0.020481	0.020779	0.021059	0.021321	0.021566	0.021793	0.022002	0.022195	0.022369	0.022527	0.022667	0.022790	0.022895	0.022983	0.023054	0.023107	0.023143	0.023161	0.023161	0.023144	0.023109	0.023056	0.022986	0.022898	0.022793	0.022671	0.022530	0.022373	0.022198	0.022005	0.021795	0.021568	0.021323	0.021060	0.020779	0.020480	0.020163	0.019828	0.019473	0.019100	0.018707	0.018294	0.017861	0.017409	0.016935	0.016441	0.015925	0.015388	0.014830	0.014250	0.013649	0.013025	0.012381	0.011715	0.011027	0.010319	0.009590	0.008841	0.008073	0.007286	0.006480	0.005658	0.004819	0.003966	0.003100	0.002223	0.001338	0.000447	
Time=0.610000	0.000443	0.001328	0.002206	0.003076	0.003933	0.004776	0.005604	0.006414	0.007205	0.007976	0.008728	0.009458	0.010167	0.010854	0.011519	0.012162	0.012784	0.013384	0.013963	0.014520	0.015057	0.015574	0.016070	0.016548	0.017006	0.017446	0.017867	0.018271	0.018657	0.019027	0.019379	0.019715	0.020034	0.020337	0.020623	0.020893	0.021146	0.021383	0.021602	0.021805	0.021991	0.022159	0.022309	0.022441	0.022555	0.022651	0.022727	0.022785	0.022824	0.022843	0.022844	0.022825	0.022787	0.022729	0.022653	0.022558	0.022444	0.022312	0.022161	0.021993	0.021807	0.021604	0.021384	0.021147	0.020893	0.020622	0.020336	0.020032	0.019713	0.019377	0.019025	0.018655	0.018269	0.017866	0.017445	0.017006	0.016548	0.016072	0.015576	0.015061	0.014525	0.013969	0.013391	0.012792	0.012171	0.011528	0.010864	0.010177	0.009468	0.008738	0.007987	0.007215	0.006423	0.005612	0.004784	0.003939	0.003081	0.002210	0.001330	0.000444	
Time=0.620000	0.000438	0.001312	0.002180	0.003038	0.003884	0.004714	0.005528	0.006323	0.007099	0.007854	0.008587	0.009299	0.009988	0.010655	0.011300	0.011923	0.012525	0.013105	0.013664	0.014203	0.014722	0.015223	0.015705	0.016170	0.016617	0.017048	0.017462	0.017861	0.018244	0.018612	0.018964	0.019302	0.019625	0.019932	0.020225	0.020501	0.020762	0.021007	0.021236	0.021447	0.021641	0.021817	0.021975	0.022114	0.022234	0.022335	0.022416	0.022477	0.022518	0.022539	0.022539	0.022518	0.022478	0.022417	0.022336	0.022235	0.022115	0.021975	0.021817	0.021641	0.021447	0.021235	0.021007	0.020762	0.020500	0.020223	0.019931	0.019623	0.019301	0.018963	0.018611	0.018243	0.017860	0.017462	0.017048	0.016619	0.016172	0.015708	0.015227	0.014727	0.014209	0.013670	0.013112	0.012532	0.011932	0.011309	0.010664	0.009997	0.009308	0.008596	0.007862	0.007107	0.006331	0.005535	0.004720	0.003889	0.003042	0.002183	0.001314	0.000439	
Time=0.630000	0.000429	0.001286	0.002136	0.002976	0.003804	0.004617	0.005413	0.006190	0.006948	0.007685	0.008401	0.009096	0.009768	0.010419	0.011048	0.011656	0.012243	0.012810	0.013357	0.013884	0.014394	0.014885	0.015360	0.015817	0.016259	0.016686	0.017097	0.017494	0.017876	0.018245	0.018599	0.018938	0.019264	0.019575	0.019871	0.020152	0.020417	0.020667	0.020899	0.021115	0.021313	0.021493	0.021655	0.021797	0.021920	0.022023	0.022106	0.022169	0.022210	0.022231	0.022231	0.022210	0.022168	0.022105	0.022022	0.021919	0.021795	0.021653	0.021491	0.021311	0.021113	0.020897	0.020665	0.020415	0.020150	0.019870	0.019574	0.019263	0.018938	0.018599	0.018246	0.017878	0.017496	0.017100	0.016689	0.016263	0.015822	0.015364	0.014891	0.014399	0.013891	0.013363	0.012817	0.012250	0.011663	0.011055	0.010426	0.009775	0.009102	0.008407	0.007691	0.006953	0.006195	0.005417	0.004620	0.003807	0.002979	0.002138	0.001287	0.000430	
Time=0.640000	0.000417	0.001248	0.002073	0.002889	0.003693	0.004483	0.005257	0.006014	0.006752	0.007472	0.008171	0.008851	0.009511	0.010150	0.010769	0.011368	0.011947	0.012508	0.013050	0.013574	0.014081	0.014570	0.015044	0.015501	0.015943	0.016370	0.016782	0.017180	0.017563	0.017933	0.018288	0.018628	0.018955	0.019266	0.019563	0.019844	0.020109	0.020358	0.020590	0.020805	0.021003	0.021182	0.021342	0.021484	0.021606	0.021708	0.021790	0.021852	0.021893	0.021913	0.021913	0.021891	0.021850	0.021787	0.021705	0.021602	0.021480	0.021338	0.021178	0.020999	0.020802	0.020587	0.020355	0.020107	0.019842	0.019562	0.019266	0.018955	0.018630	0.018290	0.017936	0.017567	0.017184	0.016787	0.016375	0.015949	0.015507	0.015050	0.014576	0.014087	0.013580	0.013056	0.012513	0.011953	0.011373	0.010773	0.010154	0.009514	0.008854	0.008174	0.007474	0.006754	0.006015	0.005258	0.004484	0.003694	0.002889	0.002073	0.001248	0.000417	
Time=0.650000	0.000401	0.001201	0.001996	0.002783	0.003559	0.004322	0.005072	0.005807	0.006525	0.007227	0.007912	0.008579	0.009229	0.009860	0.010474	0.011070	0.011648	0.012209	0.012753	0.013280	0.013790	0.014284	0.014761	0.015223	0.015670	0.016101	0.016516	0.016917	0.017302	0.017673	0.018028	0.018368	0.018693	0.019002	0.019295	0.019572	0.019833	0.020077	0.020304	0.020514	0.020706	0.020879	0.021035	0.021171	0.021289	0.021387	0.021466	0.021525	0.021564	0.021583	0.021583	0.021563	0.021522	0.021463	0.021383	0.021285	0.021167	0.021030	0.020875	0.020701	0.020510	0.020301	0.020075	0.019831	0.019571	0.019295	0.019003	0.018695	0.018371	0.018032	0.017678	0.017308	0.016923	0.016523	0.016107	0.015677	0.015230	0.014768	0.014290	0.013796	0.013285	0.012757	0.012213	0.011651	0.011072	0.010476	0.009861	0.009229	0.008579	0.007911	0.007226	0.006524	0.005805	0.005071	0.004321	0.003558	0.002782	0.001995	0.001201	0.000401	
Time=0.660000	0.000385	0.001152	0.001915	0.002671	0.003417	0.004154	0.004878	0.005590	0.006289	0.006975	0.007646	0.008303	0.008944	0.009571	0.010183	0.010779	0.011359	0.011924	0.012474	0.013007	0.013524	0.014026	0.014511	0.014980	0.015433	0.015870	0.016291	0.016695	0.017083	0.017454	0.017809	0.018147	0.018468	0.018772	0.019060	0.019330	0.019583	0.019819	0.020037	0.020238	0.020421	0.020586	0.020733	0.020861	0.020972	0.021064	0.021138	0.021193	0.021230	0.021248	0.021248	0.021229	0.021191	0.021136	0.021061	0.020969	0.020858	0.020729	0.020583	0.020418	0.020235	0.020035	0.019818	0.019583	0.019331	0.019061	0.018775	0.018471	0.018151	0.017814	0.017459	0.017089	0.016701	0.016297	0.015877	0.015440	0.014987	0.014517	0.014031	0.013529	0.013011	0.012477	0.011927	0.011361	0.010779	0.010182	0.009570	0.008943	0.008300	0.007643	0.006972	0.006286	0.005587	0.004875	0.004151	0.003415	0.002668	0.001913	0.001151	0.000384	
Time=0.670000	0.000369	0.001106	0.001840	0.002567	0.003286	0.003998	0.004699	0.005391	0.006072	0.006742	0.007401	0.008048	0.008683	0.009306	0.009915	0.010512	0.011096	0.011665	0.012220	0.012760	0.013285	0.013794	0.014287	0.014764	0.015224	0.015667	0.016092	0.016499	0.016889	0.017261	0.017614	0.017949	0.018266	0.018565	0.018845	0.019108	0.019352	0.019578	0.019786	0.019976	0.020148	0.020303	0.020440	0.020560	0.020663	0.020748	0.020816	0.020867	0.020901	0.020918	0.020918	0.020901	0.020867	0.020816	0.020747	0.020662	0.020560	0.020440	0.020303	0.020148	0.019976	0.019786	0.019579	0.019353	0.019110	0.018848	0.018568	0.018270	0.017953	0.017618	0.017265	0.016894	0.016504	0.016097	0.015671	0.015228	0.014768	0.014291	0.013798	0.013288	0.012762	0.012221	0.011666	0.011095	0.010511	0.009914	0.009303	0.008680	0.008045	0.007397	0.006738	0.006068	0.005387	0.004696	0.003994	0.003284	0.002564	0.001838	0.001105	0.000369	
Time=0.680000	0.000357	0.001071	0.001781	0.002485	0.003183	0.003874	0.004557	0.005232	0.005897	0.006554	0.007202	0.007840	0.008468	0.009085	0.009692	0.010287	0.010871	0.011442	0.012000	0.012543	0.013072	0.013586	0.014084	0.014565	0.015029	0.015476	0.015904	0.016313	0.016703	0.017075	0.017426	0.017759	0.018071	0.018365	0.018639	0.018893	0.019129	0.019346	0.019545	0.019726	0.019889	0.020034	0.020163	0.020275	0.020370	0.020449	0.020512	0.020559	0.020590	0.020606	0.020606	0.020591	0.020560	0.020514	0.020451	0.020372	0.020278	0.020166	0.020038	0.019893	0.019730	0.019549	0.019350	0.019133	0.018897	0.018643	0.018368	0.018075	0.017762	0.017430	0.017078	0.016706	0.016316	0.015906	0.015478	0.015031	0.014567	0.014085	0.013587	0.013073	0.012543	0.011999	0.011441	0.010870	0.010286	0.009690	0.009083	0.008465	0.007837	0.007199	0.006551	0.005894	0.005229	0.004554	0.003872	0.003181	0.002484	0.001779	0.001070	0.000357	
Time=0.690000	0.000350	0.001049	0.001744	0.002435	0.003119	0.003797	0.004467	0.005129	0.005783	0.006430	0.007067	0.007696	0.008316	0.008927	0.009527	0.010117	0.010696	0.011264	0.011818	0.012360	0.012888	0.013400	0.013897	0.014378	0.014842	0.015287	0.015715	0.016123	0.016512	0.016882	0.017231	0.017561	0.017870	0.018159	0.018428	0.018678	0.018908	0.019119	0.019312	0.019486	0.019643	0.019783	0.019905	0.020011	0.020102	0.020176	0.020236	0.020280	0.020310	0.020325	0.020326	0.020312	0.020283	0.020240	0.020181	0.020107	0.020017	0.019912	0.019789	0.019650	0.019493	0.019319	0.019126	0.018914	0.018684	0.018433	0.018163	0.017874	0.017564	0.017233	0.016883	0.016513	0.016123	0.015714	0.015287	0.014840	0.014376	0.013895	0.013398	0.012885	0.012358	0.011816	0.011261	0.010694	0.010115	0.009525	0.008924	0.008314	0.007694	0.007066	0.006428	0.005782	0.005128	0.004466	0.003796	0.003118	0.002434	0.001744	0.001049	0.000350	
Time=0.700000	0.000348	0.001042	0.001733	0.002418	0.003097	0.003769	0.004433	0.005088	0.005735	0.006374	0.007003	0.007624	0.008235	0.008836	0.009427	0.010008	0.010577	0.011135	0.011681	0.012213	0.012733	0.013237	0.013727	0.014201	0.014658	0.015098	0.015520	0.015924	0.016309	0.016674	0.017021	0.017347	0.017654	0.017940	0.018207	0.018455	0.018683	0.018892	0.019083	0.019256	0.019411	0.019548	0.019669	0.019774	0.019863	0.019937	0.019996	0.020039	0.020069	0.020084	0.020085	0.020071	0.020043	0.020000	0.019943	0.019870	0.019782	0.019678	0.019557	0.019419	0.019264	0.019092	0.018900	0.018690	0.018461	0.018213	0.017945	0.017657	0.017349	0.017022	0.016675	0.016308	0.015922	0.015518	0.015095	0.014654	0.014197	0.013723	0.013233	0.012728	0.012209	0.011677	0.011132	0.010574	0.010005	0.009425	0.008834	0.008234	0.007623	0.007003	0.006374	0.005736	0.005089	0.004433	0.003770	0.003098	0.002419	0.001733	0.001042	0.000348	
Time=0.710000	0.000350	0.001048	0.001743	0.002431	0.003113	0.003785	0.004449	0.005103	0.005747	0.006381	0.007004	0.007617	0.008219	0.008809	0.009389	0.009957	0.010512	0.011056	0.011587	0.012105	0.012610	0.013100	0.013576	0.014036	0.014481	0.014910	0.015322	0.015717	0.016095	0.016454	0.016795	0.017118	0.017423	0.017708	0.017975	0.018223	0.018453	0.018664	0.018857	0.019033	0.019191	0.019331	0.019456	0.019563	0.019655	0.019731	0.019792	0.019837	0.019868	0.019883	0.019884	0.019870	0.019841	0.019796	0.019737	0.019662	0.019571	0.019464	0.019340	0.019199	0.019041	0.018865	0.018672	0.018460	0.018229	0.017980	0.017712	0.017426	0.017120	0.016796	0.016454	0.016093	0.015715	0.015319	0.014906	0.014477	0.014032	0.013571	0.013095	0.012605	0.012101	0.011583	0.011053	0.010509	0.009954	0.009387	0.008808	0.008218	0.007617	0.007005	0.006382	0.005749	0.005105	0.004451	0.003787	0.003114	0.002433	0.001744	0.001049	0.000350	
Time=0.720000	0.000355	0.001064	0.001768	0.002466	0.003155	0.003834	0.004502	0.005159	0.005803	0.006435	0.007054	0.007661	0.008254	0.008834	0.009401	0.009954	0.010495	0.011021	0.011534	0.012034	0.012519	0.012991	0.013448	0.013891	0.014319	0.014733	0.015131	0.015514	0.015880	0.016231	0.016566	0.016884	0.017185	0.017470	0.017737	0.017987	0.018221	0.018437	0.018636	0.018817	0.018982	0.019130	0.019261	0.019375	0.019473	0.019554	0.019619	0.019668	0.019701	0.019717	0.019718	0.019702	0.019670	0.019623	0.019558	0.019478	0.019381	0.019267	0.019136	0.018988	0.018824	0.018642	0.018443	0.018226	0.017992	0.017741	0.017473	0.017188	0.016886	0.016567	0.016231	0.015880	0.015512	0.015129	0.014730	0.014316	0.013888	0.013444	0.012987	0.012515	0.012030	0.011531	0.011018	0.010492	0.009952	0.009400	0.008833	0.008254	0.007661	0.007055	0.006436	0.005804	0.005160	0.004503	0.003835	0.003156	0.002467	0.001769	0.001065	0.000355	
Time=0.730000	0.000362	0.001084	0.001800	0.002509	0.003209	0.003897	0.004572	0.005233	0.005881	0.006513	0.007131	0.007733	0.008319	0.008890	0.009445	0.009985	0.010510	0.011020	0.011514	0.011995	0.012460	0.012912	0.013349	0.013773	0.014182	0.014578	0.014960	0.015328	0.015682	0.016022	0.016348	0.016660	0.016957	0.017239	0.017507	0.017759	0.017996	0.018218	0.018423	0.018612	0.018785	0.018941	0.019080	0.019203	0.019308	0.019396	0.019466	0.019519	0.019555	0.019573	0.019573	0.019555	0.019520	0.019468	0.019398	0.019310	0.019205	0.019083	0.018944	0.018788	0.018615	0.018426	0.018220	0.017999	0.017762	0.017509	0.017241	0.016959	0.016661	0.016349	0.016023	0.015682	0.015327	0.014959	0.014577	0.014181	0.013771	0.013348	0.012910	0.012459	0.011993	0.011513	0.011018	0.010509	0.009984	0.009444	0.008889	0.008319	0.007732	0.007131	0.006514	0.005881	0.005234	0.004572	0.003897	0.003209	0.002510	0.001801	0.001084	0.000362	
Time=0.740000	0.000368	0.001102	0.001831	0.002551	0.003260	0.003957	0.004639	0.005307	0.005958	0.006592	0.007209	0.007809	0.008390	0.008954	0.009501	0.010030	0.010542	0.011037	0.011517	0.011980	0.012428	0.012862	0.013281	0.013686	0.014077	0.014456	0.014822	0.015175	0.015516	0.015845	0.016161	0.016465	0.016756	0.017035	0.017301	0.017553	0.017792	0.018017	0.018227	0.018421	0.018600	0.018763	0.018910	0.019039	0.019150	0.019244	0.019319	0.019376	0.019414	0.019433	0.019433	0.019413	0.019375	0.019319	0.019243	0.019149	0.019038	0.018909	0.018762	0.018599	0.018420	0.018226	0.018016	0.017792	0.017553	0.017301	0.017036	0.016757	0.016466	0.016162	0.015846	0.015518	0.015177	0.014824	0.014458	0.014079	0.013687	0.013282	0.012863	0.012429	0.011981	0.011517	0.011038	0.010542	0.010030	0.009501	0.008954	0.008390	0.007808	0.007208	0.006591	0.005957	0.005306	0.004638	0.003956	0.003259	0.002550	0.001830	0.001102	0.000368	
Time=0.750000	0.000372	0.001115	0.001852	0.002580	0.003297	0.004000	0.004689	0.005360	0.006015	0.006651	0.007269	0.007867	0.008447	0.009007	0.009548	0.010070	0.010574	0.011060	0.011529	0.011981	0.012416	0.012836	0.013242	0.013633	0.014011	0.014376	0.014728	0.015069	0.015398	0.015715	0.016022	0.016317	0.016601	0.016874	0.017135	0.017384	0.017621	0.017845	0.018055	0.018251	0.018431	0.018597	0.018746	0.018878	0.018992	0.019088	0.019166	0.019224	0.019263	0.019282	0.019282	0.019262	0.019222	0.019163	0.019085	0.018988	0.018874	0.018741	0.018592	0.018427	0.018246	0.018051	0.017841	0.017618	0.017382	0.017133	0.016873	0.016601	0.016318	0.016023	0.015717	0.015400	0.015072	0.014732	0.014380	0.014015	0.013637	0.013246	0.012840	0.012420	0.011984	0.011532	0.011063	0.010576	0.010072	0.009549	0.009007	0.008446	0.007866	0.007267	0.006650	0.006013	0.005358	0.004686	0.003998	0.003295	0.002579	0.001851	0.001114	0.000372	
Time=0.760000	0.000374	0.001120	0.001861	0.002592	0.003312	0.004018	0.004709	0.005383	0.006039	0.006677	0.007295	0.007894	0.008474	0.009033	0.009573	0.010093	0.010594	0.011076	0.011540	0.011987	0.012417	0.012831	0.013229	0.013613	0.013983	0.014339	0.014683	0.015015	0.015335	0.015643	0.015941	0.016227	0.016503	0.016767	0.017021	0.017263	0.017493	0.017710	0.017914	0.018105	0.018281	0.018442	0.018588	0.018717	0.018829	0.018923	0.018998	0.019055	0.019094	0.019112	0.019112	0.019092	0.019053	0.018995	0.018918	0.018824	0.018711	0.018582	0.018436	0.018275	0.018099	0.017908	0.017705	0.017488	0.017259	0.017018	0.016765	0.016502	0.016227	0.015942	0.015645	0.015337	0.015018	0.014687	0.014344	0.013988	0.013619	0.013235	0.012836	0.012422	0.011992	0.011545	0.011080	0.010597	0.010095	0.009574	0.009034	0.008474	0.007894	0.007294	0.006675	0.006037	0.005381	0.004707	0.004016	0.003310	0.002590	0.001859	0.001120	0.000374	
